RealY,PredictY,T  0 B,T 0 D,T  1 B,T 1 D,T  2 B,T 2 D,T  3 B,T 3 D,T  4 B,T 4 D,T  5 B,T 5 D,T  6 B,T 6 D,T  7 B,T 7 D,T  8 B,T 8 D,T  9 B,T 9 D,T  10 B,T 10 D,T  11 B,T 11 D,T  12 B,T 12 D,T  13 B,T 13 D,T  14 B,T 14 D,T  15 B,T 15 D,T  16 B,T 16 D,T  17 B,T 17 D,T  18 B,T 18 D,T  19 B,T 19 D,T  20 B,T 20 D,T  21 B,T 21 D,T  22 B,T 22 D,T  23 B,T 23 D,T  24 B,T 24 D,T  25 B,T 25 D,T  26 B,T 26 D,T  27 B,T 27 D,T  28 B,T 28 D,T  29 B,T 29 D,T  30 B,T 30 D,T  31 B,T 31 D,T  32 B,T 32 D,T  33 B,T 33 D,T  34 B,T 34 D,T  35 B,T 35 D,T  36 B,T 36 D,T  37 B,T 37 D,T  38 B,T 38 D,T  39 B,T 39 D,T  40 B,T 40 D,T  41 B,T 41 D,T  42 B,T 42 D,T  43 B,T 43 D,T  44 B,T 44 D,T  45 B,T 45 D,T  46 B,T 46 D,T  47 B,T 47 D,T  48 B,T 48 D,T  49 B,T 49 D
1.12957,1.0688,0.080492,0.303314,0.105623,0.709731,0.0711639,0.163144,0.103457,0.624891,0.0569515,0.186031,0.293881,0.551838,0.154141,0.844778,0.105623,0.687951,0.0339842,0.526509,0.301996,0.57893,0.475881,0.406178,0.0313001,0.547445,0.389437,0.889661,0.294459,0.771602,0.311182,0.388281,0.335924,0.884928,0.992365,0.63875,1.16482,0.584955,0.0610801,0.441268,0.115072,0.638787,0.0451658,0.301591,0.216754,0.704977,0.028267,0.471033,0.0711639,0.163144,0.578995,0.604217,0.239081,0.296963,0.311876,0.236308,0.145198,0.468542,0.0538318,0.18936,0.617645,0.737347,0.0711639,0.163144,0.0191363,0.395711,0.0711639,0.163144,0.270452,0.327736,0.264417,0.806437,0.307747,0.725063,0.492996,0.931145,0.547592,0.475954,0.0484276,0.34688,0.0997618,0.580099,0.00509727,0.326987,0.344518,0.717997,0.117961,0.664005,0.564751,0.60291,0.375788,0.314139,0.122522,0.736036,0.185556,0.842914,0.325452,0.214723,0.234519,0.635208,0.0206962,0.513106
-1.11754,-1.11474,0.00973248,0.298752,0.102459,0.658735,0.378507,0.777773,0.213385,0.660974,0.0227315,0.559816,0.00973248,0.298752,0.0386771,0.607352,0.0435301,0.64664,0.103215,0.339384,0.0159768,0.76771,0.250249,0.82482,0.0643286,0.798205,0.0983765,0.604058,0.0967396,0.605656,0.0994598,0.511086,0.00973248,0.298752,0.106359,0.685788,0.103215,0.339384,0.161388,0.614652,0.00222194,0.539903,0.0866773,0.488319,0.0899271,0.528066,0.0469964,0.649987,0.117769,0.716759,0.0582623,0.537068,0.0939134,0.585076,0.152496,0.653233,0.106393,0.318632,0.00973248,0.298752,0.0389804,0.404809,0.132357,0.755651,0.0588402,0.627608,0.015919,0.724655,0.00973248,0.298752,0.00973248,0.298752,0.0439634,0.761576,0.00973248,0.298752,0.0186923,0.850091,0.208402,0.667971,0.0953,0.528503,0.00973248,0.298752,0.00648272,0.7849,0.0423168,0.785884,0.105059,0.497019,0.0101995,0.819039,0.0150524,0.824139,0.105059,0.497019,0.0933936,0.514943,0.0933936,0.514943,0.0261979,0.60227
-0.254399,-0.433719,0.167322,0.506417,0.0926595,0.444479,0.425436,0.370621,0.190759,0.570574,0.0943927,0.385683,0.136298,0.592769,0.583292,0.708703,0.362308,0.548454,0.133737,0.560465,0.0306106,0.365701,0.022079,0.581098,0.0560887,0.377087,0.103579,0.568653,0.142273,0.430329,0.240983,0.536977,0.0493292,0.275251,0.00339916,0.546407,0.447235,0.509776,0.13079,0.172922,0.0276641,0.535064,0.597158,0.757438,0.0493292,0.336266,0.0982057,0.19461,0.32023,0.475752,0.73984,0.594651,0.13079,0.172922,0.0589964,0.585472,0.0301096,0.5013,0.248648,0.297454,0.71805,0.850575,0.0160995,0.527299,0.12754,0.501496,0.0449962,0.437785,0.539673,0.619623,0.080527,0.638799,0.103636,0.22737,0.184808,0.398569,0.0397966,0.270223,0.0642782,0.261747,0.0214245,0.315064,0.169614,0.622202,0.0455162,0.266199,0.0493292,0.647952,0.0493292,0.336266,0.281194,0.592514,0.242236,0.542799,0.0949126,0.334066,0.0228879,0.414788,0.109125,0.811435,0.271141,0.738234
0.559343,0.642494,0.42026,0.586743,0.302055,0.557497,0.233377,0.871338,0.373897,0.534468,0.115215,0.648207,0.166345,0.81011,0.0632186,0.685896,0.422166,0.618542,0.42026,0.586743,0.408474,0.696943,0.239877,0.329534,1.22369,0.504194,0.264647,0.749062,0.527372,0.579316,0.828518,0.60602,0.178477,0.672974,0.225274,0.722882,0.0615726,1.07587,0.0545526,0.349012,0.514807,0.571617,0.248933,0.774654,0.350065,0.794456,0.0562858,0.807528,0.396082,0.564237,0.0172885,0.667811,0.109063,0.64376,0.0104428,0.657326,0.351798,0.77615,0.0920332,0.919008,0.403794,0.873573,0.45348,0.620957,0.203609,0.681725,0.240093,0.858493,0.00836295,0.658138,0.284203,0.590608,0.0389537,0.60029,0.361764,0.677825,0.0442404,0.735961,0.324933,0.559613,0.071394,0.69947,1.07463,0.78345,0.125614,0.704981,0.3258,0.402728,0.768289,0.641478,0.3258,0.402728,0.0389537,0.60029,0.507787,0.702655,0.500075,0.368067,0.382996,0.592178,0.761096,0.436552
-0.992746,-0.919809,0.0683882,0.294405,0.162631,0.35153,0.149199,0.448685,0.219541,0.487858,0.15411,0.480404,0.183577,0.327121,0.0712047,0.264133,0.0564724,0.354485,0.140706,0.38925,0.1388,0.164492,0.0835538,0.290662,0.252614,0.521133,0.079654,0.229592,0.154225,0.354385,0.368164,0.636813,0.155915,0.276361,0.0536993,0.349827,0.1388,0.164492,0.0952529,0.235675,0.0848536,0.213617,0.223441,0.175186,0.786388,0.504094,0.0673049,0.337965,0.110202,0.157928,0.148044,0.264725,0.18213,0.254369,0.219683,0.455768,0.592615,0.219358,0.148159,0.452649,0.0601555,0.377536,0.1388,0.164492,0.139493,0.279922,0.012856,0.495955,0.0666549,0.281067,0.571296,0.53163,0.0829039,0.285508,0.175486,0.218639,0.123374,0.3613,0.343206,0.37565,0.0647918,0.352532,0.0657189,0.604909,0.289736,0.361644,0.105869,0.289131,0.223441,0.175186,0.549862,0.558744,0.180975,0.284903,0.103702,0.189279,0.10298,0.414471,0.0432566,0.35777,0.125801,0.17717
0.217901,0.453184,0.00285992,0.610148,0.2394,0.394335,0.275147,0.540429,0.0472299,0.593013,0.819953,0.44382,0.0495408,0.481998,0.117425,0.412045,0.399072,0.613059,0.741034,0.377914,0.0238315,0.613015,0.833819,0.596713,0.403838,0.580261,0.0136489,0.453525,0.0385638,0.782673,0.179387,0.421795,1.29947,0.502399,0.423337,0.560141,0.074268,0.466141,0.580885,0.335856,1.05942,0.559827,1.4767,0.703562,0.815042,0.34277,0.398378,0.926966,0.0271246,0.341827,0.148334,0.672986,0.385856,0.648231,0.073228,0.456079,0.365274,0.638489,0.0840606,0.603862,0.0617454,0.345195,0.125224,0.488004,0.086227,0.444732,0.619189,0.766757,0.266192,0.812007,0.0394306,0.418282,0.630282,0.752108,0.561993,0.479764,0.546828,0.447066,0.0276445,0.59199,0.135913,0.521758,0.265615,0.354675,0.665986,0.377475,0.219901,0.675942,0.0818941,0.487603,0.0307643,0.281772,0.161622,0.716442,0.0593623,0.407495,0.393006,0.595511,0.126741,0.546472,0.715382,0.636092
-0.204136,-0.199076,0.406298,0.700059,0.557521,0.530262,0.540622,0.413422,0.18826,0.587922,0.149369,0.413477,0.154333,0.468655,0.181848,0.771844,0.0223922,0.523624,0.0691889,0.554508,0.382312,0.278195,0.125797,0.340317,0.326676,0.480251,0.306051,0.443357,0.326272,0.697683,0.138084,0.521119,0.159316,0.520864,0.648731,0.618462,0.409765,0.605462,0.186758,0.371821,0.281786,0.337649,0.133308,0.476836,0.296759,0.549961,0.380579,0.372687,0.475039,0.735191,0.439335,0.366339,0.502202,0.549092,0.659997,0.437699,0.547555,0.488696,0.932607,0.670087,0.0148718,0.552763,0.24381,0.396908,0.0619574,0.467584,0.0543024,0.565775,0.0313373,0.350629,0.125624,0.611555,0.125797,0.340317,0.288719,0.687222,0.10212,0.670599,0.50277,0.290075,0.076555,0.440935,0.649814,0.564715,0.045723,0.70263,0.404411,0.432831,0.0203701,0.50567,0.0223922,0.473581,0.150929,0.38865,0.394012,0.315979,0.084778,0.4338,0.262442,0.443266,0.50277,0.290075
-1.22066,-1.13685,0.0975226,0.591652,0.0707301,0.430744,0.178767,0.508616,0.149676,0.492061,0.194567,0.72009,0.122595,0.430338,0.0730411,0.410571,0.181887,0.59864,0.0877733,0.52393,0.146788,0.354791,0.104396,0.548818,0.00804567,0.49347,0.125557,0.572946,0.109986,0.510455,0.388052,0.414546,0.0730411,0.437365,0.0162193,0.556999,0.0609086,0.47863,0.0604753,0.447183,0.0401376,0.721193,0.162675,0.487674,0.0809258,0.409063,0.0890141,0.223021,0.103746,0.477134,0.233363,0.694181,0.0730411,0.410571,0.0938396,0.44257,0.380397,0.452099,0.204706,0.644533,0.0947062,0.425929,0.104093,0.48554,0.147077,0.460629,0.0687081,0.58072,0.121078,0.534325,0.0601271,0.692518,0.0162193,0.556999,0.0769408,0.589141,0.0597662,0.616877,0.043084,0.567233,0.169088,0.372694,0.111172,0.330044,0.0868475,0.400957,0.0734152,0.596423,0.153721,0.408735,0.0361236,0.616853,0.121945,0.477613,0.10288,0.329975,0.115678,0.814517,0.243242,0.692567,0.148232,0.392683
-1.00835,-1.06486,0.200433,0.589521,0.34091,0.86913,0.0982858,0.501724,0.12345,0.501566,0.105912,0.730413,0.260688,0.734891,0.402785,1.0219,0.301392,0.308303,0.0126395,0.443009,0.423089,1.03077,0.224637,0.78103,0.138843,0.25185,0.149043,0.297253,0.0613685,0.314224,0.138991,0.360686,0.0793937,0.658323,0.136737,0.396067,0.114495,0.370191,0.0974625,0.73022,0.0907463,0.292,0.232411,0.577486,0.0530491,0.768763,0.0374501,0.350335,0.137803,0.348818,0.180934,0.594796,0.0199014,0.447572,0.301392,0.308303,0.112325,0.588648,0.193006,0.576647,0.0136795,0.727222,0.0266787,0.603936,0.0690812,0.305622,0.118044,0.726033,0.192778,0.691193,0.264128,0.718558,0.144537,0.259273,0.00950205,0.512526,0.579945,0.349849,0.423089,1.03077,0.0585263,0.37319,0.220148,0.654638,0.0512325,0.400388,0.179573,0.540202,0.0994735,0.774779,0.0748875,0.309283,0.19155,0.858215,0.132488,0.429696,0.17394,0.584973,0.0575297,0.305821,0.0613683,0.353056
-1.29519,-1.24634,0.00985706,0.544852,0.179063,0.479182,0.00494635,0.249912,0.0887182,0.537,0.0183065,0.587951,0.0256736,0.418761,0.0699996,0.514202,0.0120236,0.225277,0.0482054,0.75066,0.0315666,0.810627,0.0263227,0.624756,0.171046,0.724293,0.00470185,0.229426,0.0326065,0.699956,0.180363,0.636392,0.00747502,0.448374,0.0396684,0.683748,0.114023,0.654033,0.0620711,0.949285,0.0176566,0.349239,0.0586047,0.50317,0.00639069,0.101315,0.00396419,0.319126,0.0248071,0.756991,0.0196074,0.464709,0.112983,0.336267,0.0154911,0.340816,0.0759368,0.639348,0.125982,0.852924,0.0136702,0.441039,0.044739,0.482538,0.0996374,0.659157,0.0765858,0.472587,0.00452852,0.556918,0.0279269,0.312579,0.0881982,0.496614,0.0085572,0.361742,0.00639069,0.342976,0.16186,0.75084,0.0176566,0.349239,0.21936,0.794716,0.01484,0.287258,0.00639069,0.101315,0.16537,0.650629,0.00639069,0.492532,0.0213407,0.700494,0.047772,0.568751,0.0334731,0.516019,0.00140882,0.311036,0.0100304,0.289643
