TestResponse,PredictValue,Tree 0Bias,Tree 0Dissimilarity,Tree 1Bias,Tree 1Dissimilarity,Tree 2Bias,Tree 2Dissimilarity,Tree 3Bias,Tree 3Dissimilarity,Tree 4Bias,Tree 4Dissimilarity,Tree 5Bias,Tree 5Dissimilarity,Tree 6Bias,Tree 6Dissimilarity,Tree 7Bias,Tree 7Dissimilarity,Tree 8Bias,Tree 8Dissimilarity,Tree 9Bias,Tree 9Dissimilarity,Tree 10Bias,Tree 10Dissimilarity,Tree 11Bias,Tree 11Dissimilarity,Tree 12Bias,Tree 12Dissimilarity,Tree 13Bias,Tree 13Dissimilarity,Tree 14Bias,Tree 14Dissimilarity,Tree 15Bias,Tree 15Dissimilarity,Tree 16Bias,Tree 16Dissimilarity,Tree 17Bias,Tree 17Dissimilarity,Tree 18Bias,Tree 18Dissimilarity,Tree 19Bias,Tree 19Dissimilarity
-0.512647,-0.557042,0.00297093,3.68067,0.249384,1.43752,0.0660599,2.75073,0.0339464,2.28703,0.0419682,2.72497,0.272494,2.11484,0.0319156,3.83376,0.0463012,4.55627,0.215116,2.59071,0.0719094,2.58287,0.00529063,2.59545,0.182185,4.08017,0.0526274,2.05069,0.0665307,3.3528,0.0606378,3.84078,0.206054,4.97179,0.0894582,2.0793,0.052483,2.71451,0.0554439,2.36036,0.0141011,3.09299
-0.0758784,0.0413423,0.110461,3.20019,0.367789,3.04332,0.120922,4.94486,0.291842,2.34776,0.466462,1.71915,0.25542,1.7459,0.0327021,2.0426,0.0260104,4.66474,0.511935,4.37902,0.0140946,3.91299,0.083423,4.0984,0.083423,4.0984,0.298774,1.50444,0.219653,2.13779,0.116936,3.95762,0.0344353,2.45457,0.0587002,2.14906,0.230313,1.56987,0.033222,2.09771,0.292395,1.18546
-0.0533466,-0.56994,0.0891635,2.07205,0.214475,5.033,0.109615,4.45702,0.0763378,3.30492,0.0742145,1.76474,0.196123,2.954,0.143471,2.61556,0.207542,2.50165,0.226714,2.08012,0.0874303,1.14176,0.183644,3.44319,0.185068,2.40723,0.0874303,1.14176,0.024795,3.04592,0.281117,2.79923,0.0423438,4.32789,0.702914,3.32369,0.09211,2.17094,0.18033,3.64071,0.451771,4.15512
-1.03434,-0.813332,0.377867,7.01172,0.64126,4.90819,0.257987,6.10172,0.230833,4.78471,0.417965,4.50989,0.168799,5.53744,0.0203927,5.1275,0.121297,7.24796,0.441346,4.79274,0.480993,2.88624,1.04207,5.83516,0.512364,5.98852,0.650793,6.0304,0.390866,6.91149,0.105265,3.36939,0.171127,4.69534,0.145906,3.03187,0.493704,5.46259,0.815015,5.22558,0.443729,5.55517
2.54041,1.95451,1.0974,2.28924,0.684551,2.41384,0.493031,5.71461,0.695124,3.04092,0.585896,1.88975,0.0508497,3.1112,0.172387,5.04958,0.336176,2.46947,0.518303,2.58211,0.585897,1.95549,0.374307,3.66237,0.49785,3.4254,0.585901,3.12157,0.540695,1.96496,0.00989914,2.52372,0.0598626,2.51665,0.585901,2.17741,0.434243,2.9028,0.585901,3.83409,0.087027,4.22457
-0.537779,-0.264867,0.651445,2.8578,0.227849,2.1341,0.0983777,4.91956,0.446081,1.60848,0.222129,4.15835,0.16112,2.90939,0.254713,2.42852,0.325342,2.629,0.0715707,2.03627,0.237735,1.62535,0.421275,3.90743,0.217016,2.84972,0.715747,4.05454,0.275295,2.51864,0.441033,3.67155,0.334441,1.92368,2.3451,2.12815,0.357977,3.10365,0.959978,2.94205,0.0704803,2.89298
0.256898,0.30377,0.0399396,3.70818,0.0196395,2.48123,0.165308,3.74516,0.103028,2.89918,1.15944,4.02917,0.198095,1.96635,0.135786,3.35532,0.151038,2.8082,0.026789,3.08548,0.133533,4.07979,0.590234,2.50875,0.449114,3.60182,0.0148298,2.00516,0.5937,3.44286,0.758204,2.37848,0.526972,3.63345,0.506022,4.23285,0.635731,3.58598,0.33738,5.19812,0.00194627,2.34676
1.27169,0.690176,0.0199564,3.32613,0.541315,1.70431,0.692875,2.83197,1.79471,2.05894,0.443677,2.09162,0.552052,3.83418,0.856519,2.84198,0.134646,2.37861,0.383642,2.83195,0.482386,2.54766,0.302854,2.35812,0.351239,2.26153,0.225342,3.2823,1.00182,2.29145,0.307187,2.39144,0.511272,1.36401,1.38313,2.70465,0.877029,3.59777,0.582161,1.96353,0.54091,2.47607
1.12957,1.13532,0.163236,4.03181,0.0656565,2.67608,1.10755,3.18936,0.0688405,2.96799,0.553446,5.86218,0.404607,1.70687,0.134292,2.34978,0.134927,1.62381,0.555179,5.54813,0.0245794,3.51616,0.0800631,4.7932,0.370159,2.4117,0.0795864,3.27721,0.183515,4.45553,0.378392,1.52486,0.0523108,5.66817,0.245997,3.90853,0.115862,3.93845,0.0774424,4.45459,0.184901,5.58194
0.517746,0.821832,0.41173,5.52507,0.512256,1.16987,0.801951,4.81621,0.275488,1.54881,0.0670377,4.76923,0.485218,1.87564,0.674022,2.3783,0.0106649,2.90447,0.342217,3.49697,0.381041,2.3401,0.39352,2.74815,0.210782,2.58592,0.653328,3.69548,0.850625,2.95286,0.0410395,4.85154,0.272368,4.23492,0.92736,4.75551,0.436861,3.19265,0.102352,3.66736,0.512776,1.86098
0.253432,1.02376,0.311193,4.18417,0.720645,3.77578,1.51665,3.54014,0.496483,3.55028,0.129042,3.00439,0.130073,2.9188,0.331178,3.57211,0.188188,3.02125,0.985248,2.98523,1.09842,2.51929,0.541257,2.76233,1.2565,3.89127,0.699866,3.47811,1.24783,4.37948,0.701512,2.93244,0.527681,2.42704,1.02268,3.99842,1.04304,2.5594,0.534787,3.75435,0.435407,3.89245
-0.438119,-0.848369,0.375068,4.04776,0.0708869,4.79096,0.236238,3.21277,0.131812,4.6032,0.261369,4.79543,0.461122,4.91514,0.504363,6.34803,0.173842,2.95094,0.39136,3.09195,0.274409,3.60149,0.901614,4.6806,0.255127,3.27152,0.022227,2.93828,0.875616,4.82737,0.0594506,5.44642,0.652899,5.01843,0.371255,2.5,0.268129,5.02643,0.352074,5.35139,0.475421,3.33479
